Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
"5300","'142","Asia","230122","Consumer Prices, General Indices (2015 = 100), median","6125","Value","7008","August","","47.062673","49.402910","51.112124","53.499840","55.881946","58.791457","62.792012","68.094879","77.734939","76.795127","80.784251","86.180325","90.186095","94.670480","98.182264","100.405894","102.454018","104.566977","107.517364","110.187037","112.794444","118.140403","123.608486","127.436090",
"5300","'142","Asia","230122","Consumer Prices, General Indices (2015 = 100), median","6125","Value","7009","September","","47.578072","49.394964","51.038587","54.300644","55.711693","59.301480","62.589924","69.050552","78.268132","77.148200","81.001497","86.910008","91.013170","95.097824","98.307315","100.529028","102.486329","104.984980","107.558681","110.300193","113.339210","118.116668","123.556117","127.996796",
"5300","'142","Asia","230122","Consumer Prices, General Indices (2015 = 100), median","6125","Value","7010","October","","47.982148","49.640373","51.285821","54.296229","56.186372","59.266504","62.435598","69.220504","79.026170","78.210898","82.201905","87.290031","91.739189","95.347031","98.890034","100.718444","102.613899","105.268883","107.631464","110.895284","114.866571","118.613845","123.612059","128.153395",
"5300","'142","Asia","230122","Consumer Prices, General Indices (2015 = 100), median","6125","Value","7011","November","","48.219239","49.990420","51.600851","54.856410","56.283148","59.500074","63.166848","69.845131","79.588164","78.193278","82.174367","88.828463","92.575038","95.889214","98.943135","100.763047","102.789970","105.776727","108.088661","111.294234","115.065239","119.100342","124.460163","127.977376",
"5300","'142","Asia","230122","Consumer Prices, General Indices (2015 = 100), median","6125","Value","7012","December","","48.437777","50.306881","52.001638","54.522440","57.039053","60.209930","64.307906","70.919236","78.926556","78.681663","83.541460","89.409919","93.035067","96.452931","99.049943","101.272128","102.945114","105.869965","108.031052","111.115834","115.079626","119.330600","125.118442","127.810441",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7001","January","","63.672285","64.631798","65.336409","66.470288","68.052517","69.681229","71.724299","73.868185","77.856731","80.459543","82.779163","86.380094","89.910586","92.865119","96.385307","98.857488","101.353963","104.109029","107.002594","110.459961","116.205835","121.355908","133.291816","154.778654","189.666285"
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7002","February","","63.947693","64.626314","65.587819","66.715253","68.069358","70.140537","71.884111","74.151496","78.799501","80.458512","83.182754","86.823459","90.047793","93.403958","96.625567","99.234441","101.915748","104.190868","107.530286","111.011608","116.488284","122.047123","134.494589","157.871897","192.379611"
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7003","March","","63.717967","64.570636","65.416593","66.749943","68.271568","70.093406","71.810542","74.223660","79.040231","80.517836","83.100563","86.922429","90.377917","93.247844","96.663671","99.256527","101.788167","104.233824","107.147137","111.183905","116.149289","122.318947","136.075311","162.568887","194.071123"
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7004","April","","63.671480","64.827860","65.503306","66.857596","68.487736","70.181406","72.062125","74.405532","79.404891","80.627430","83.292471","87.189902","90.643706","93.536496","97.169051","99.487623","101.986510","104.488437","107.314267","111.708330","116.175683","122.695775","138.396638","165.041335",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7005","May","","63.581110","64.820657","65.593962","66.762023","68.580040","70.195369","72.255086","74.646734","79.773148","80.601211","83.391433","87.430666","90.618552","93.465410","97.384704","99.656565","102.040621","104.592950","107.514218","111.993960","116.066369","123.193718","139.829933","166.380405",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7006","June","","63.395028","64.604997","65.431387","66.432706","68.522929","69.969332","72.271288","74.814972","80.089790","80.564218","83.308327","87.637931","90.441552","93.809243","97.473939","99.782079","102.221045","104.568666","107.801275","112.057246","116.685046","123.688636","142.500462","168.808330",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7007","July","","63.277075","64.558205","65.281306","66.315917","68.559944","70.131012","72.284599","75.228595","80.544754","80.905236","83.586701","88.041267","90.605276","94.274690","97.888738","100.077547","102.495519","104.734707","108.198659","112.562083","117.322225","124.841679","144.388529","173.082931",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7008","August","","63.511049","64.734482","65.507744","66.549128","68.878187","70.319908","72.562470","75.792319","80.703006","81.275014","83.956875","88.369981","91.180864","94.732608","98.165497","100.433298","102.573851","105.179227","108.964613","113.136058","118.318913","125.588712","145.593342","176.195375",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7009","September","","64.046823","64.989751","65.851894","66.941367","69.282649","70.704289","72.837375","76.062020","80.862735","81.538926","84.412071","88.747671","91.582903","95.279770","98.480205","100.637127","102.941735","105.570906","109.813368","113.711606","118.957799","126.424093","147.249827","178.212147",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7010","October","","64.146636","65.169007","65.946953","67.254654","69.517310","71.141173","72.998863","76.462862","80.955811","81.662438","84.958117","89.048466","91.821202","95.643733","98.574473","100.749700","103.228793","105.877510","110.409212","114.542897","119.682544","127.959482","149.577665","183.085992",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7011","November","","64.222742","65.125736","66.023125","67.474586","69.454440","71.109253","73.043822","76.781882","80.545615","81.926556","85.347336","89.038333","91.906200","95.856004","98.504485","100.831485","103.348808","106.177335","110.232507","114.963615","119.954542","129.313721","150.667352","184.887880",
"5300","'142","Asia","230121","Consumer Prices, General Indices (2015 = 100), weighted average","6125","Value","7012","December","","64.318736","65.165860","66.147682","67.712681","69.420288","71.256759","73.526028","77.244674","80.283438","82.285182","85.705500","89.196398","92.263020","95.920197","98.683194","101.088440","103.476303","106.469605","110.173949","115.425062","120.515891","131.200197","151.694664","186.282673",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7001","January","%",,"3.122152","3.370995","5.245813","5.514244","8.551927","2.346044","15.777077","17.407588","7.254944","3.361558","10.548040","7.873729","3.108668","4.460645","2.530260","3.155400","2.669300","2.483146","1.735733","7.336825","3.447986","3.899705","9.023324","0.370729"
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7002","February","%",,"2.743398","4.532650","4.265115","6.312399","9.604075","2.535631","15.472828","18.363014","5.158696","6.965733","6.771271","7.422866","3.678489","4.743786","2.225868","2.948714","2.116904","3.793240","2.102786","5.774902","4.186555","3.769347","8.873983","1.333706"
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7003","March","%",,"3.987743","3.250522","4.165929","6.988189","8.677372","3.301875","16.928943","17.107823","4.202175","4.763895","9.361073","7.549421","2.838460","5.133635","2.258744","2.659998","1.850694","3.388014","2.554864","6.145640","3.722925","5.524047","7.032610","1.719956"
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7004","April","%",,"1.630237","6.520772","3.713224","6.130418","8.030950","4.945577","14.919137","19.392203","3.642054","3.464488","11.011174","6.230681","3.734681","4.529475","2.560562","2.751237","2.063462","2.442494","3.417826","7.731761","2.433035","5.975880","5.661331",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7005","May","%",,"0.538700","6.433332","3.686135","5.215047","8.955567","5.537750","15.180083","18.683633","3.146713","3.325241","12.852526","4.221535","4.780313","3.709299","2.958215","2.410264","2.409167","2.437320","3.142565","8.035611","2.737577","6.826064","3.174087",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7006","June","%",,"0.595511","3.835928","5.242121","7.178025","7.094833","5.978234","14.185519","19.130441","2.477375","2.678428","14.607543","3.283555","4.805672","3.667576","3.322153","2.520743","1.934684","2.812573","2.854634","8.258076","2.567081","8.328641","2.338260",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7007","July","%",,"2.982529","4.081893","4.214996","7.408895","6.609205","7.687933","13.895928","17.115047","0.920658","6.079652","13.838276","3.048882","4.858177","4.488119","2.696738","2.371895","2.043737","3.004715","3.136366","8.443861","2.266287","5.530831","4.255626",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7008","August","%",,"3.995473","3.543787","3.414888","8.096025","6.603024","8.976722","13.538585","16.651342","0.176510","7.496549","12.836642","2.739557","4.611527","5.036917","2.665432","1.620815","2.543090","3.805484","2.918376","7.555426","2.926188","5.054893","4.906462",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7009","September","%",,"4.266328","2.708545","3.772282","8.052340","7.531110","8.571461","15.016555","14.555874","1.299953","6.951614","12.022780","3.319663","4.731265","4.954892","2.299198","1.724243","2.352473","3.220190","4.802750","5.857030","2.799504","6.169512","5.407041",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7010","October","%",,"2.729258","3.412293","3.993645","10.159604","5.279970","8.137081","16.460140","13.352215","2.422633","6.823602","11.579815","2.872995","5.002897","3.728033","3.348803","1.871201","2.155260","3.108270","5.154144","5.203178","3.063766","6.122642","5.530450",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7011","November","%",,"2.333648","3.534291","7.093528","6.513759","4.557835","10.735408","18.502034","9.963224","2.678968","9.327841","7.930539","4.069154","4.689734","3.588741","3.509101","1.805507","0.934622","4.395853","5.413646","5.031811","3.390037","6.598124","3.287426",
"5300","'142","Asia","230142","Food price inflation, median","6121","Value","7012","December","%",,"1.742087","4.770337","6.347680","8.296473","2.995927","12.893271","18.562185","9.013696","1.809256","10.444404","7.708089","3.855440","4.759330","2.981031","2.900235","2.126151","1.858354","2.895233","7.109322","4.355274","2.904701","8.180858","1.526223",
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7001","January","%",,"1.329499","0.675893","2.588018","4.024453","3.410524","3.229900","4.154820","9.205800","6.787330","3.431706","7.709288","6.417528","3.969287","4.512358","3.492603","3.720477","2.933315","2.606139","3.832950","9.961758","5.898694","16.109761","29.527054","41.900356"
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7002","February","%",,"0.344002","1.359592","2.549826","3.716099","4.661936","1.819877","4.792802","11.498324","3.653567","4.877004","7.617428","5.044765","5.015080","4.017337","3.866567","4.588008","1.094036","3.966220","3.472823","10.517356","5.696321","15.856527","37.980028","34.157318"
"5300","'142","Asia","230141","Food price inflation, weighted average","6121","Value","7003","March","%",,"0.780690","1.006721","3.322691","4.260662","3.730033","1.594496","5.397912","11.534295","3.879999","4.302698","7.527156","5.960013","3.583401","4.642649","3.747655","4.404275","1.350247","2.988682","4.978156","9.165765","6.086937","18.457096","47.907879","25.275008"
