Country,Year,adult_obesity,teen_obesity,child_obesity,child_stunting,Food_Price_Inflation
Bulgaria,2022,20.5876407623,12.0619001389,3.79999995232,5.59999990463,21.90039408333333
Burkina Faso,2022,6.74530982971,1.0722899437,2,21.7999992371,23.981627583333335
Burundi,2022,5.02191019058,2.41034007072,3.59999990463,56.5,24.337028833333335
Cape Verde,2022,15.7724304199,4.19658994675,5.5,9.39999961853,15.684738666666666
Cambodia,2022,4.36388015747,5.98332023621,3.79999995232,22.2999992371,4.95549675
Cameroon,2022,14.8824996948,4.23687982559,10.5,26.8999996185,12.713865333333333
Canada,2022,26.2271194458,10.9432201385,11.1000003815,12.9500002861,9.746202083333333
Chad,2022,6.69227981567,3.47427010536,3.20000004768,32.2999992371,12.36557275
Chile,2022,38.9146118164,27.4677600861,8.80000019073,1.60000002384,17.641929583333333
China,2022,8.27952957153,11.8885498047,8.89999961853,4.59999990463,2.7756897499999997
Colombia,2022,23.6154708862,10.5736303329,6.19999980927,11.1999998093,24.895166083333333
Republic of the Congo,2022,8.5372800827,2.79043006897,4.5,16.5,6.2075396666666665
Cook Islands,2022,68.9237213135,37.4781684875,5.5,12.9500002861,14.887112166666666
Costa Rica,2022,31.3876094818,13.7762298584,7.59999990463,9.5,15.47946425
Ivory Coast,2022,11.6430397034,5.35331010818,2.59999990463,20.2000007629,8.844921166666667
Croatia,2022,30.6165790558,9.26340007782,5.5,12.9500002861,15.817972916666665
Cyprus,2022,22.9365291595,14.0709295273,5.5,12.9500002861,8.929902583333334
Czechia,2022,25.9795207977,5.98870992661,6.09999990463,2.5,16.694992583333335
Denmark,2022,13.2785100937,5.57441997528,5.5,12.9500002861,11.483987416666666
Djibouti,2022,11.3467798233,3.44370007515,3.20000004768,18.7000007629,10.69797475
Dominica,2022,31.3407707214,18.5100002289,5.5,12.9500002861,7.888244
Dominican Republic,2022,29.3400497437,15.4810400009,7.59999990463,5.59999990463,11.124932416666667
Ecuador,2022,27.3785495758,12.6239299774,11.8999996185,22.7000007629,5.254871
Egypt,2022,44.270198822,20.4155101776,18.7999992371,20.3999996185,23.443311833333333
El Salvador,2022,30.8800296783,11.6336097717,6.80000019073,10,12.17692625
Equatorial Guinea,2022,17.673740387,5.04646015167,8.19999980927,16.1000003815,5.575588916666667
Estonia,2022,22.1631908417,10.6919498444,5.09999990463,1.20000004768,19.818444500000002
Ethiopia,2022,2.82277011871,1.71248996258,2.70000004768,34.4000015259,37.30116016666667
Fiji,2022,33.8384399414,12.3147802353,7.40000009537,7.09999990463,6.15878275
Finland,2022,21.5090694427,12.6456899643,5.5,12.9500002861,10.497343833333334
France,2022,9.6984796524,4.13351011276,5.5,12.9500002861,7.270286916666667
Gabon,2022,21.0185203552,5.3711400032,5.40000009537,13.3999996185,5.906220833333333
Gambia,2022,14.9329996109,4.35340976715,1.79999995232,13.6000003815,14.006736
Georgia,2022,34.6596298218,10.5923204422,5,4.80000019073,17.938822416666667
Germany,2022,20.4037094116,8.49302005768,3.09999990463,2.09999990463,12.533633333333333
Ghana,2022,12.9313097,7.00488996506,1.89999997616,12.6999998093,33.73574141666666
Greece,2022,27.9815006256,11.5519800186,14.6000003815,2.20000004768,11.746996416666667
Grenada,2022,30.2521305084,19.1373291016,5.5,12.9500002861,5.734766083333334
Guatemala,2022,26.8102397919,7.71787023544,4.80000019073,43.5,9.273474
Guinea,2022,9.5341796875,3.56748008728,5.59999990463,27.8999996185,13.848025333333334
Guinea-Bissau,2022,11.4705095291,4.13364982605,3.29999995232,27.7000007629,9.740998416666667
Haiti,2022,10.6892299652,11.3863201141,3.70000004768,19.5,34.93781391666667
Honduras,2022,29.4924201965,12.5831403732,4.69999980927,17.5,13.490999916666667
Hungary,2022,31.7039299011,14.7831802368,5.5,12.9500002861,27.56542275
Iceland,2022,21.2344093323,8.66991996765,5.5,12.9500002861,7.22275975
India,2022,7.2678899765,3.43807005882,2.79999995232,31.7000007629,6.63330775
Indonesia,2022,11.2278699875,10.8139896393,10.6000003815,31,5.97966125
Iran,2022,24.2665901184,12.630200386,3.79999995232,4.69999980927,62.45602725
Iraq,2022,40.4852485657,18.639919281,6.40000009537,9.89999961853,6.80294675
Ireland,2022,28.3465499878,8.30638027191,5.5,12.9500002861,6.8852605
Israel,2022,22.4907093048,9.268409729,5.5,12.9500002861,4.351821083333333
Italy,2022,17.2918605804,9.64253997803,5.5,12.9500002861,9.1272115
Jamaica,2022,33.80701828,15.5008802414,5.69999980927,6.5,12.781096083333333
Japan,2022,5.5392999649,4.36108016968,2.09999990463,5,4.938798
Jordan,2022,38.5069999695,17.7804203033,9.5,6.59999990463,3.3385395833333336
Kazakhstan,2022,18.3764190674,5.66276979446,7.69999980927,4.90000009537,18.89007175
Kenya,2022,12.4102802277,2.46559000015,3.79999995232,18.3999996185,12.673821333333333
Kiribati,2022,46.3031692505,18.8826904297,2,14.1999998093,2.683495636363636
Kuwait,2022,41.4169692993,21.2264194489,11.6999998093,6.90000009537,7.429938833333333
Kyrgyzstan,2022,26.5997009277,2.17673993111,6.40000009537,10.3000001907,16.171037416666667
Laos,2022,8.0098695755,6.79553985596,4,27.7000007629,21.765457333333334
Latvia,2022,24.2724990845,6.71204996109,6.40000009537,1.79999995232,21.535991666666668
Lebanon,2022,29.7815608978,18.576839447,8.30000019073,7.40000009537,200
Lesotho,2022,20.9982299805,4.61168003082,6.90000009537,31.7999992371,8.845413416666666
Libya,2022,36.7071990967,15.4165496826,28.7000007629,52.2000007629,4.32520075
Lithuania,2022,25.3553199768,7.07874011993,4.69999980927,4.5,26.17156908333333
Luxembourg,2022,18.4344005585,7.43034982681,5.5,12.9500002861,7.001575916666667
Madagascar,2022,4.26250982285,2.18917989731,1.5,38.5999984741,9.497479083333333
Malawi,2022,7.73551988602,1.99516999722,3.90000009537,34,26.806653583333333
Malaysia,2022,22.095369339,16.4730701447,5.69999980927,21.8999996185,5.740506083333333
Maldives,2022,17.2976799011,13.0143203735,3.29999995232,13.8999996185,4.624559
Mali,2022,11.3726396561,5.48973989487,2,23.7999992371,14.299268083333333
Malta,2022,32.2879905701,12.0636301041,5.5,12.9500002861,10.453786166666667
Mauritania,2022,22.6879501343,8.03044033051,2,22.1000003815,15.387348416666667
Mauritius,2022,19.2286300659,12.4843301773,6.80000019073,8.60000038147,14.743455166666667
